severity,scope,key,value,threshold,message
WARN,EVENT_POINT,SAFETY:LABELLER_DONE#1,0.15,0.1,At least 10% of attempts failed before reaching the injection event; interpret injected-fault probability with censoring/background-failure caution.
WARN,EVENT_POINT,COORDINATOR:UNLOADER_DONE#1,0.8,0.9,Event reachability below 90%; many runs terminated before the intended injection point.
WARN,EVENT_POINT,COORDINATOR:UNLOADER_DONE#1,0.2,0.1,At least 10% of attempts failed before reaching the injection event; interpret injected-fault probability with censoring/background-failure caution.
WARN,EVENT_POINT,BATCH:UNLOADER_DONE#1,0.85,0.9,Event reachability below 90%; many runs terminated before the intended injection point.
WARN,EVENT_POINT,BATCH:UNLOADER_DONE#1,0.15,0.1,At least 10% of attempts failed before reaching the injection event; interpret injected-fault probability with censoring/background-failure caution.
WARN,EVENT_POINT,PRODUCTION:UNLOADER_DONE#1,0.85,0.9,Event reachability below 90%; many runs terminated before the intended injection point.
WARN,EVENT_POINT,PRODUCTION:UNLOADER_DONE#1,0.15,0.1,At least 10% of attempts failed before reaching the injection event; interpret injected-fault probability with censoring/background-failure caution.
WARN,EVENT_POINT,SAFETY:UNLOADER_DONE#1,0.75,0.9,Event reachability below 90%; many runs terminated before the intended injection point.
WARN,EVENT_POINT,SAFETY:UNLOADER_DONE#1,0.25,0.1,At least 10% of attempts failed before reaching the injection event; interpret injected-fault probability with censoring/background-failure caution.
WARN,EVENT_POINT,SAFETY:UNLOADER_DONE#1,408.26187999999996,20.0,95th percentile absolute HALT-duration error exceeds 20 ms.
WARN,EVENT_POINT,COORDINATOR:LOADER_DONE#2,0.85,0.9,Event reachability below 90%; many runs terminated before the intended injection point.
WARN,EVENT_POINT,COORDINATOR:LOADER_DONE#2,0.15,0.1,At least 10% of attempts failed before reaching the injection event; interpret injected-fault probability with censoring/background-failure caution.
WARN,EVENT_POINT,BATCH:LOADER_DONE#2,0.1,0.1,At least 10% of attempts failed before reaching the injection event; interpret injected-fault probability with censoring/background-failure caution.
WARN,EVENT_POINT,PRODUCTION:LOADER_DONE#2,0.85,0.9,Event reachability below 90%; many runs terminated before the intended injection point.
WARN,EVENT_POINT,PRODUCTION:LOADER_DONE#2,0.15,0.1,At least 10% of attempts failed before reaching the injection event; interpret injected-fault probability with censoring/background-failure caution.
WARN,EVENT_POINT,SAFETY:LOADER_DONE#2,0.8,0.9,Event reachability below 90%; many runs terminated before the intended injection point.
WARN,EVENT_POINT,SAFETY:LOADER_DONE#2,0.2,0.1,At least 10% of attempts failed before reaching the injection event; interpret injected-fault probability with censoring/background-failure caution.
WARN,EVENT_POINT,SAFETY:CONVEYOR_DONE#2,0.1,0.1,At least 10% of attempts failed before reaching the injection event; interpret injected-fault probability with censoring/background-failure caution.
WARN,EVENT_POINT,BATCH:FILLER_DONE#2,0.1,0.1,At least 10% of attempts failed before reaching the injection event; interpret injected-fault probability with censoring/background-failure caution.
WARN,EVENT_POINT,PRODUCTION:FILLER_DONE#2,0.85,0.9,Event reachability below 90%; many runs terminated before the intended injection point.
WARN,EVENT_POINT,PRODUCTION:FILLER_DONE#2,0.15,0.1,At least 10% of attempts failed before reaching the injection event; interpret injected-fault probability with censoring/background-failure caution.
WARN,EVENT_POINT,BATCH:TABLE_ALIGNED#3,0.1,0.1,At least 10% of attempts failed before reaching the injection event; interpret injected-fault probability with censoring/background-failure caution.
WARN,EVENT_POINT,SAFETY:TABLE_ALIGNED#3,0.1,0.1,At least 10% of attempts failed before reaching the injection event; interpret injected-fault probability with censoring/background-failure caution.
WARN,EVENT_POINT,COORDINATOR:TABLE_ALIGNED#5,0.75,0.9,Event reachability below 90%; many runs terminated before the intended injection point.
WARN,EVENT_POINT,COORDINATOR:TABLE_ALIGNED#5,0.25,0.1,At least 10% of attempts failed before reaching the injection event; interpret injected-fault probability with censoring/background-failure caution.
WARN,EVENT_POINT,BATCH:TABLE_ALIGNED#5,0.8,0.9,Event reachability below 90%; many runs terminated before the intended injection point.
WARN,EVENT_POINT,BATCH:TABLE_ALIGNED#5,0.2,0.1,At least 10% of attempts failed before reaching the injection event; interpret injected-fault probability with censoring/background-failure caution.
WARN,EVENT_POINT,PRODUCTION:TABLE_ALIGNED#5,0.75,0.9,Event reachability below 90%; many runs terminated before the intended injection point.
WARN,EVENT_POINT,PRODUCTION:TABLE_ALIGNED#5,0.25,0.1,At least 10% of attempts failed before reaching the injection event; interpret injected-fault probability with censoring/background-failure caution.
WARN,EVENT_POINT,SAFETY:TABLE_ALIGNED#5,0.85,0.9,Event reachability below 90%; many runs terminated before the intended injection point.
WARN,EVENT_POINT,SAFETY:TABLE_ALIGNED#5,0.15,0.1,At least 10% of attempts failed before reaching the injection event; interpret injected-fault probability with censoring/background-failure caution.
WARN,TARGET,COORDINATOR,0.11428571428571428,0.1,High pooled pre-event/background failure burden across attempts.
